0,1,2,3,4,5,6,7,8,9,10,11,12
,USD in millions except % data,2017,2018,,2019,,2020,,2021,2022,2023,2024
,Sales and Revenues,"$45,462","$54,722",,"$53,800",,"$41,748",,"$50,971","$59,427","$67,060","$64,809"
,% Inside the United States,41%,41%,,42%,,39%,,38%,41%,46%,47%
,% Outside the United States,59%,59%,,58%,,61%,,62%,59%,54%,53%
,,,,,,,,,,,,
Sales,Construction industries (Ci)1,"$19,240","$23,237",,"$22,649",,"$16,918",,"$22,106","$25,269","$27,418","$25,455"
,North America,"$8,742","$10,754",,"$11,455",,"$7,365",,"$9,676","$12,367","$15,343","$14,576"
,,,,,,,,,,,,
by,Latin America,"$1,396","$1,479",,"$1,533",,"$1,031",,"$1,913","$2,843","$2,307","$2,553"
,EAME,"$3,760","$4,410",,"$4,012",,"$3,466",,"$4,858","$5,099","$5,254","$4,315"
,,,,,,,,,,,,
Region,Asia/Pacific,"$5,235","$6,473",,"$5,556",,"$5,014",,"$5,547","$4,818","$4,390","$3,900"
,Inter-Segment,$107,$121,,$93,,$42,,$112,$142,$124,$111
,Resource industries (Ri)1,"$7,861","$10,270",,"$10,276",,"$7,906",,"$9,810","$12,314","$13,583","$12,389"
,North America,"$2,582","$3,357",,"$3,632",,"$2,286",,"$2,987","$4,531","$5,256","$4,561"
,Latin America,"$1,281","$1,647",,"$1,533",,"$1,253",,"$1,724","$1,840","$2,040","$2,077"
,EAME,"$1,775","$2,217",,"$1,836",,"$1,570",,"$1,987","$2,205","$2,069","$1,804"
,Asia/Pacific,"$1,866","$2,667",,"$2,812",,"$2,337",,"$2,804","$3,437","$3,879","$3,576"
,Inter-Segment,$357,$382,,$463,,$460,,$308,$301,$339,$371
,,,,,,U.S. & Non-U.S. Sales and Revenues,,,,,E&T Total Sales1 by Region,
,Energy & Transportation (E&T)1,"$19,382","$22,785",,"$22,097",,"$17,470",,"$20,287","$23,752","North America - 45%
$28,001","$28,854"
,,,,,,,,% Inside the United States -,,,,
,North America,"$7,959","$9,685",,"$8,864",,"$6,843",47%,"$7,611","$9,175","Latin America - 6%
$11,982","$13,005"
,Latin America,"$1,261","$1,331",,"$1,389",,$932,,"$1,233","$1,784","EAME - 20%
$1,983","$1,763"
,,,,,,,,,,,,
,EAME,"$4,431","$4,934",,"$4,994",,"$4,448",% Out side the Unit ed States -,"$4,908","$5,232","Asia/ Pacific - 12%
$5,929","$5,787"
,,,,,,,,53%,,,,
,,,,,,,,,,,,
,Asia/Pacific,"$2,313","$2,882",,"$3,238",,"$2,441",,"$2,918","$3,146","Inter-Segment - 17%
$3,461","$3,533"
,Inter-Segment,"$3,418","$3,953",,"$3,612",,"$2,806",,"$3,617","$4,415","$4,646","$4,766"
,,,,,,,CI Total Sales1 by Region,,,,E&T Total Sales by Application,
,,,U.S. & Non-U.S. Sales and Revenues,,,,,E&T Total Sales1 by Region,U.S. & Non-U.S. Sales and Revenues,,,E&T Total Sales1 by Region
,E&T Sales by Application,,,,,,,North America - 57%,,,Oil & Gas - 29%,
,,,,,,,,,North America - 45%,,,North America - 45%
,Oil & Gas,"$4,424","$5,763",% Inside the United States -,"$5,205",,"$3,701",Latin America - 10%,"$4,460","% Inside the United States -
$5,330","$6,988","$6,980"
,,,,,,,,,,,Power Generation - 32%,
,,,,47%,,,,,Latin America - 6%,47%,,Latin America - 6%
,,,,,,,,,,,,
,Power Generation,"$3,551","$4,334",,"$4,474",,"$3,963",EAME - 17%,"$4,292","$4,940","$6,362","$7,756"
,,,,,,,,,EAME - 20%,,Industrial - 17%,EAME - 20%
,,,,,,,,,,,,
,Industrial,"$3,445","$3,640",,"$3,749",,"$2,945",Asia/ Pacific - 15%,"$3,612","$4,426","$4,871","$3,990"
,,,,% Out side the Unit ed States -,,,,,Asia/ Pacific - 12%,% Out side the Unit ed States -,,Asia/ Pacific - 12%
,,,,,,,,Inter-Segment - 1%,,,Transportation - 22%,
,,,,,,,,,,,,
,Transportation,"$4,544","$5,095",53%,"$5,057",,"$4,055",,"$4,306","53%
$4,641","$5,134","$5,362"
,,,,,,,,,Inter-Segment - 17%,,,Inter-Segment - 17%
,,,,E&T Total Sales1 by Region,,,RI Total Sales1 by Region,,,,,
2024 Sales,U.S. & Non-U.S. Sales and Revenues,,CI Total Sales1 by Region,"CI Total Sales1 by Region
  North America - 57%",North America - 45%,"U.S. & Non-U.S. Sales and Revenues
RI Total Sales1 by Region",,"E&T Total Sales by Application
  North America - 37%",E&T Total Sales1 by Region,"E&T Total Sales1 by Region
  North America - 57%","E&T Total Sales by Application
  North America - 45%",
,,,,,,,,,Oil & Gas - 29%,,,Oil & Gas - 29%
,,% Inside the United States -,,,,,% Inside the United States -,,,,,
,47%,,,Latin America - 10%,Latin America - 6%,47%,,Latin America - 17%,,"Latin America - 10%
  Latin America - 6%",,
Mix,,,,,,,,,Power Generation - 32%,,,Power Generation - 32%
,,,,,,,,,,,,
,,,,EAME - 17%,EAME - 20%,,,EAME - 15%,,"EAME - 17%
  EAME - 20%",,
