0,1,2,3,4,5,6,7,8,9
,,"Reconciliations of adjusted profit before taxes to the most directly comparable GAAP measure, consolidated profit before taxes, are as follows:",,,,,,,
,,,,,,,,,
Appendix:,(millions of dollars),2017,2018,2019,2020,2021,2022,2023,2024
,Profit before taxes,"$4,082","$7,822","$7,812","$3,995","$8,204","$8,752","$13,050   $13,373",
Non-GAAP,Goodwill impairment,—,—,—,—,—,$925,—,––
,,,,,,,,,
Financial,Restructuring (income) costs -,—,—,—,—,—,—,––,$164
,divestitures of certain non-U.S. entities,,,,,,,,
,,,,,,,,,
Measures,Restructuring costs - Longwall divestiture,—,—,—,—,—,—,$586,––
,Other restructuring costs,"$1,256",$386,$236,$354,$90,$299,$194,$195
continued,,,,,,,,,
,Pension/OPEB mark-to-market (gains) losses,$301,$495,$468,$383,($833),($606),($97),($154)
,Gain on sale of equity investment,($85),––,––,—,—,—,—,—
,Adjusted profit before taxes,"$5,554","$8,703","$8,516","$4,732","$7,461","$9,370","$13,733   $13,578",
