0,1,2,3,4,5,6,7,8,9,10
Grants of plan‑‑based awards,,,,,,,,,,
,,,,,,,All other,All other,,
,,,,,,,stock,option,,
,,,,,,,awards:,awards:,Exercise,Grant date
,,Estimated future payouts under,,,Estimated future payouts under,,,,,
,,,,,,,Number of,Number of,or base,fair value
,,non‑‑equity incentive plan awards2,,,equity incentive plan awards3,,,,,
,,,,,,,shares of,securities,price of,of stock
,,,,,,,stock or,underlying,option,and option
,Grant,Threshold,Target,Maximum,Threshold,Target,"units4 
Maximum",options,awards,awards5
Name,"date 
Type of",($),($),($),(#),(#),"(#) 
(#)",(#),($/Sh),($)
(a),"(b) 
award1",(c),(d),(e),(f),(g),"(i) 
(h)",(j),(k),(l)
Mr. Vestberg,"STP 
—","1,031,250","3,750,000","7,500,000",,,,,,
,PSU  3/1/2024,,,,,"303,483","606,966",,,"12,200,017"
,RSU  3/1/2024,,,,,,"144,279",,,"5,800,016"
Mr. Skiadas,"STP 
—","412,500","1,500,000","3,000,000",,,,,,
,PSU  3/1/2024,,,,,"126,866","253,732",,,"5,100,013"
,RSU  3/1/2024,,,,,,"84,578",,,"3,400,036"
Mr. Sampath,"STP 
—","495,000","1,800,000","3,600,000",,,,,,
,PSU  3/1/2024,,,,,"149,254","298,508",,,"6,000,011"
,RSU  3/1/2024,,,,,,"99,503",,,"4,000,021"
Mr. Malady,"STP 
—","453,750","1,650,000","3,300,000",,,,,,
,PSU  3/1/2024,,,,,"138,060","276,120",,,"5,550,012"
,RSU  3/1/2024,,,,,,"92,040",,,"3,700,008"
Ms. Venkatesh,"STP 
—","288,750","1,050,000","2,100,000",,,,,,
,PSU  3/1/2024,,,,,"67,165","134,330",,,"2,700,033"
,RSU  3/1/2024,,,,,,"44,777",,,"1,800,035"
Mr. Silliman,"STP 
—","381,563","1,387,500","2,775,000",,,,,,
,PSU  3/1/2024,,,,,"115,672","231,344",,,"4,650,014"
,RSU  3/1/2024,,,,,,"77,115",,,"3,100,023"
