ticker,company,website,company_wikipedia,source
AAPL,Apple,https://apple.com,https://en.wikipedia.org/wiki/Apple_Inc.,Wikipedia infobox
AMGN,Amgen,https://amgen.com/,https://en.wikipedia.org/wiki/Amgen,Wikipedia infobox
AMZN,Amazon,https://www.amazon.com/,https://en.wikipedia.org/wiki/Amazon_(company),Wikipedia infobox
AXP,American Express,https://americanexpress.com/,https://en.wikipedia.org/wiki/American_Express,Wikipedia infobox
BA,Boeing,https://boeing.com/,https://en.wikipedia.org/wiki/Boeing,Wikipedia infobox
CAT,Caterpillar,https://www.caterpillar.com/,https://en.wikipedia.org/wiki/Caterpillar_Inc.,Wikipedia infobox
CRM,Salesforce,https://www.salesforce.com/,https://en.wikipedia.org/wiki/Salesforce,Wikipedia infobox
CSCO,Cisco,http://cisco.com,https://en.wikipedia.org/wiki/Cisco,Wikipedia infobox
CVX,Chevron,https://www.chevron.com/,https://en.wikipedia.org/wiki/Chevron_Corporation,Wikipedia infobox
DIS,Disney,http://thewaltdisneycompany.com,https://en.wikipedia.org/wiki/The_Walt_Disney_Company,Wikipedia infobox
GS,Goldman Sachs,https://www.goldmansachs.com/,https://en.wikipedia.org/wiki/Goldman_Sachs,Wikipedia infobox
HD,Home Depot,https://homedepot.com/,https://en.wikipedia.org/wiki/Home_Depot,Wikipedia infobox
HON,Honeywell,https://www.honeywell.com/,https://en.wikipedia.org/wiki/Honeywell,Wikipedia infobox
IBM,IBM,https://www.ibm.com/,https://en.wikipedia.org/wiki/IBM,Wikipedia infobox
JNJ,Johnson & Johnson,https://www.jnj.com/,https://en.wikipedia.org/wiki/Johnson_%26_Johnson,Wikipedia infobox
JPM,JPMorgan Chase,https://www.jpmorganchase.com/,https://en.wikipedia.org/wiki/JPMorgan_Chase,Wikipedia infobox
KO,Coca-Cola,https://www.coca-colacompany.com/,https://en.wikipedia.org/wiki/The_Coca-Cola_Company,Wikipedia infobox
MCD,McDonald's,https://www.mcdonalds.com/us/en-us.html,https://en.wikipedia.org/wiki/McDonald%27s,Wikipedia infobox
MMM,3M,http://3m.com,https://en.wikipedia.org/wiki/3M,Wikipedia infobox
MRK,Merck,http://merck.com,https://en.wikipedia.org/wiki/Merck_%26_Co.,Wikipedia infobox
MSFT,Microsoft,https://www.microsoft.com/,https://en.wikipedia.org/wiki/Microsoft,Wikipedia infobox
NKE,Nike,http://nike.com,"https://en.wikipedia.org/wiki/Nike,_Inc.",Wikipedia infobox
NVDA,Nvidia,https://www.nvidia.com/,https://en.wikipedia.org/wiki/Nvidia,Wikipedia infobox
PG,Procter & Gamble,https://us.pg.com/,https://en.wikipedia.org/wiki/Procter_%26_Gamble,Wikipedia infobox
SHW,Sherwin-Williams,http://sherwin-williams.com,https://en.wikipedia.org/wiki/Sherwin-Williams,Wikipedia infobox
TRV,"Travelers Companies, Inc.",http://travelers.com,https://en.wikipedia.org/wiki/The_Travelers_Companies,Wikipedia infobox
UNH,UnitedHealth Group,https://unitedhealthgroup.com/,https://en.wikipedia.org/wiki/UnitedHealth_Group,Wikipedia infobox
V,Visa,https://visa.com/,https://en.wikipedia.org/wiki/Visa_Inc.,Wikipedia infobox
VZ,Verizon,https://www.verizon.com,https://en.wikipedia.org/wiki/Verizon,Wikipedia infobox
WMT,Walmart,https://www.walmart.com/,https://en.wikipedia.org/wiki/Walmart,Wikipedia infobox
